example_id                                                             | status  | run_time              |
./spec/controllers/user_registrations_controller_spec.rb[1:1:1:1]      | passed  | 0.03738 seconds       |
./spec/controllers/user_registrations_controller_spec.rb[1:1:1:2]      | passed  | 0.03245 seconds       |
./spec/controllers/user_registrations_controller_spec.rb[1:1:1:3]      | passed  | 0.02929 seconds       |
./spec/controllers/user_registrations_controller_spec.rb[1:1:1:4]      | passed  | 0.03245 seconds       |
./spec/controllers/user_registrations_controller_spec.rb[1:1:1:5]      | passed  | 0.03302 seconds       |
./spec/controllers/user_registrations_controller_spec.rb[1:1:1:6:1]    | passed  | 0.13639 seconds       |
./spec/controllers/user_registrations_controller_spec.rb[1:1:1:6:2]    | passed  | 0.09461 seconds       |
./spec/controllers/user_registrations_controller_spec.rb[1:1:1:6:3]    | passed  | 0.08695 seconds       |
./spec/controllers/user_registrations_controller_spec.rb[1:1:2:1]      | passed  | 0.02219 seconds       |
./spec/controllers/user_registrations_controller_spec.rb[1:1:2:2]      | passed  | 0.02126 seconds       |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:1:1]         | passed  | 0.08849 seconds       |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:1:2]         | passed  | 0.11834 seconds       |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:1:3]         | passed  | 0.09261 seconds       |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:1:4]         | passed  | 0.1274 seconds        |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:1:5]         | passed  | 0.09395 seconds       |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:2:1]         | passed  | 0.0429 seconds        |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:3:1]         | passed  | 0.04891 seconds       |
./spec/controllers/user_sessions_controller_spec.rb[1:1:2:1:1]         | passed  | 0.04698 seconds       |
./spec/controllers/user_sessions_controller_spec.rb[1:1:2:2:1]         | passed  | 0.03066 seconds       |
./spec/controllers/user_sessions_controller_spec.rb[1:2:1]             | passed  | 0.01004 seconds       |
./spec/controllers/users_controller_spec.rb[1:1:1]                     | passed  | 0.02137 seconds       |
./spec/controllers/users_controller_spec.rb[1:2:1]                     | passed  | 0.02854 seconds       |
./spec/controllers/users_controller_spec.rb[1:3:1:1:1]                 | passed  | 0.04746 seconds       |
./spec/controllers/users_controller_spec.rb[1:3:1:1:2]                 | passed  | 0.0473 seconds        |
./spec/controllers/users_controller_spec.rb[1:3:1:1:3]                 | passed  | 0.04946 seconds       |
./spec/controllers/users_controller_spec.rb[1:3:1:2:1]                 | passed  | 0.03419 seconds       |
./spec/controllers/users_controller_spec.rb[1:3:1:3:1:1]               | passed  | 0.04843 seconds       |
./spec/controllers/users_controller_spec.rb[1:3:1:3:2:1]               | passed  | 0.04866 seconds       |
./spec/controllers/users_controller_spec.rb[1:3:2]                     | passed  | 0.09757 seconds       |
./spec/helpers/checkout_helper_spec.rb[1:1:1]                          | passed  | 0.00618 seconds       |
./spec/helpers/checkout_helper_spec.rb[1:1:2]                          | passed  | 0.00777 seconds       |
./spec/helpers/spree/base_helper_spec.rb[1:1]                          | passed  | 0.11881 seconds       |
./spec/helpers/taxon_filters_helper_spec.rb[1:1]                       | passed  | 0.01919 seconds       |
./spec/helpers/taxons_helper_spec.rb[1:1:1]                            | passed  | 0.09614 seconds       |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:1]                          | passed  | 0.05882 seconds       |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:2]                          | passed  | 0.44281 seconds       |
./spec/mailers/user_mailer_spec.rb[1:1:1:2:1]                          | passed  | 0.05554 seconds       |
./spec/mailers/user_mailer_spec.rb[1:1:2:1]                            | passed  | 0.08208 seconds       |
./spec/requests/cart_line_items_ability_spec.rb[1:1:1:1]               | passed  | 0.31048 seconds       |
./spec/requests/cart_line_items_spec.rb[1:1:1]                         | passed  | 0.32097 seconds       |
./spec/requests/cart_line_items_spec.rb[1:1:2:1]                       | passed  | 0.32266 seconds       |
./spec/requests/cart_line_items_spec.rb[1:1:2:2:1]                     | passed  | 0.28557 seconds       |
./spec/requests/cart_line_items_spec.rb[1:1:2:3:1]                     | passed  | 0.28278 seconds       |
./spec/requests/cart_line_items_spec.rb[1:1:2:4:1]                     | passed  | 0.27263 seconds       |
./spec/requests/carts_ability_spec.rb[1:1:1:1]                         | passed  | 0.07385 seconds       |
./spec/requests/carts_ability_spec.rb[1:1:2:1]                         | passed  | 0.12188 seconds       |
./spec/requests/carts_ability_spec.rb[1:1:3:1]                         | passed  | 0.08283 seconds       |
./spec/requests/carts_spec.rb[1:1:1:1]                                 | passed  | 0.30317 seconds       |
./spec/requests/carts_spec.rb[1:1:2:1]                                 | passed  | 0.14474 seconds       |
./spec/requests/carts_spec.rb[1:2:1:1]                                 | passed  | 0.58815 seconds       |
./spec/requests/carts_spec.rb[1:2:1:2]                                 | passed  | 0.55124 seconds       |
./spec/requests/carts_spec.rb[1:2:1:3]                                 | passed  | 0.90532 seconds       |
./spec/requests/carts_spec.rb[1:3:1]                                   | passed  | 0.5003 seconds        |
./spec/requests/carts_spec.rb[1:4:1]                                   | passed  | 0.56536 seconds       |
./spec/requests/checkout_with_views_spec.rb[1:1:1:1]                   | passed  | 0.47653 seconds       |
./spec/requests/checkouts_spec.rb[1:1:1]                               | passed  | 0.42048 seconds       |
./spec/requests/checkouts_spec.rb[1:1:2]                               | passed  | 0.57671 seconds       |
./spec/requests/checkouts_spec.rb[1:1:3]                               | passed  | 0.68669 seconds       |
./spec/requests/checkouts_spec.rb[1:1:4]                               | passed  | 0.33729 seconds       |
./spec/requests/checkouts_spec.rb[1:1:5]                               | passed  | 0.98846 seconds       |
./spec/requests/checkouts_spec.rb[1:2:1]                               | passed  | 0.77003 seconds       |
./spec/requests/checkouts_spec.rb[1:2:2:1:1]                           | passed  | 0.53977 seconds       |
./spec/requests/checkouts_spec.rb[1:2:2:1:2]                           | passed  | 0.76432 seconds       |
./spec/requests/checkouts_spec.rb[1:2:2:1:3]                           | passed  | 0.58364 seconds       |
./spec/requests/checkouts_spec.rb[1:2:2:1:4:1]                         | passed  | 0.53229 seconds       |
./spec/requests/checkouts_spec.rb[1:2:2:2:1:1]                         | passed  | 0.59745 seconds       |
./spec/requests/checkouts_spec.rb[1:2:2:2:2:1]                         | passed  | 0.49589 seconds       |
./spec/requests/checkouts_spec.rb[1:2:2:2:2:2]                         | passed  | 0.55492 seconds       |
./spec/requests/checkouts_spec.rb[1:2:2:3:1]                           | failed  | 1.23 seconds          |
./spec/requests/checkouts_spec.rb[1:2:2:4:1:1]                         | failed  | 0.44004 seconds       |
./spec/requests/checkouts_spec.rb[1:2:2:4:2:1]                         | passed  | 1.82 seconds          |
./spec/requests/checkouts_spec.rb[1:2:2:4:3:1]                         | failed  | 0.41383 seconds       |
./spec/requests/checkouts_spec.rb[1:2:2:5:1]                           | failed  | 0.36353 seconds       |
./spec/requests/checkouts_spec.rb[1:2:2:5:2]                           | failed  | 0.35672 seconds       |
./spec/requests/checkouts_spec.rb[1:2:2:5:3]                           | failed  | 0.36656 seconds       |
./spec/requests/checkouts_spec.rb[1:2:3:1]                             | passed  | 0.54079 seconds       |
./spec/requests/checkouts_spec.rb[1:2:3:2]                             | passed  | 0.43122 seconds       |
./spec/requests/checkouts_spec.rb[1:2:4:1]                             | passed  | 0.39092 seconds       |
./spec/requests/checkouts_spec.rb[1:2:5:1]                             | failed  | 0.43775 seconds       |
